frame,timestamp,detections,tracked_objects,ball_1_x,ball_1_y,ball_1_confidence,ball_1_track_id
1,0.016666666666666666,2,1,1236.0,884.0,0.11558879166841507,0.0
2,0.03333333333333333,1,1,1236.0,883.0,0.1032668948173523,0.0
3,0.05,1,1,1236.0,882.0,0.11617039144039154,0.0
4,0.06666666666666667,1,1,1236.0,882.0,0.1006736233830452,0.0
5,0.08333333333333333,0,1,1236.0,882.0,0.1006736233830452,0.0
6,0.1,1,1,1236.0,883.0,0.10027460008859634,0.0
7,0.11666666666666667,0,1,1236.0,883.0,0.10027460008859634,0.0
8,0.13333333333333333,0,1,1236.0,883.0,0.10027460008859634,0.0
9,0.15,0,1,1236.0,883.0,0.10027460008859634,0.0
10,0.16666666666666666,0,1,1236.0,883.0,0.10027460008859634,0.0
11,0.18333333333333332,0,1,1236.0,883.0,0.10027460008859634,0.0
12,0.2,0,1,1236.0,883.0,0.10027460008859634,0.0
13,0.21666666666666667,0,1,1236.0,883.0,0.10027460008859634,0.0
14,0.23333333333333334,0,1,1236.0,883.0,0.10027460008859634,0.0
15,0.25,0,1,1236.0,883.0,0.10027460008859634,0.0
16,0.26666666666666666,0,1,1236.0,883.0,0.10027460008859634,0.0
17,0.2833333333333333,1,1,1236.0,883.0,0.10027460008859634,0.0
18,0.3,0,1,1236.0,883.0,0.10027460008859634,0.0
19,0.31666666666666665,0,1,1236.0,883.0,0.10027460008859634,0.0
20,0.3333333333333333,0,1,1236.0,883.0,0.10027460008859634,0.0
21,0.35,1,1,1236.0,883.0,0.10027460008859634,0.0
22,0.36666666666666664,0,0,,,,
23,0.38333333333333336,0,0,,,,
24,0.4,0,0,,,,
25,0.4166666666666667,0,0,,,,
26,0.43333333333333335,0,0,,,,
27,0.45,0,0,,,,
28,0.4666666666666667,0,0,,,,
29,0.48333333333333334,0,0,,,,
30,0.5,0,0,,,,
31,0.5166666666666667,0,0,,,,
32,0.5333333333333333,1,1,1238.0,884.0,0.10062658786773682,1.0
33,0.55,0,1,1238.0,884.0,0.10062658786773682,1.0
34,0.5666666666666667,0,1,1238.0,884.0,0.10062658786773682,1.0
35,0.5833333333333334,2,1,1238.0,884.0,0.10062658786773682,1.0
36,0.6,2,1,1238.0,884.0,0.10062658786773682,1.0
37,0.6166666666666667,1,1,1238.0,884.0,0.10062658786773682,1.0
38,0.6333333333333333,1,1,1238.0,884.0,0.10062658786773682,1.0
39,0.65,1,1,1238.0,884.0,0.10062658786773682,1.0
40,0.6666666666666666,2,1,1238.0,884.0,0.10062658786773682,1.0
41,0.6833333333333333,1,1,1238.0,884.0,0.10062658786773682,1.0
42,0.7,2,1,1238.0,884.0,0.10062658786773682,1.0
43,0.7166666666666667,1,1,1238.0,884.0,0.10062658786773682,1.0
44,0.7333333333333333,2,1,1238.0,884.0,0.10062658786773682,1.0
45,0.75,2,1,1238.0,884.0,0.10062658786773682,1.0
46,0.7666666666666667,1,1,1238.0,884.0,0.10062658786773682,1.0
47,0.7833333333333333,0,1,1238.0,884.0,0.10062658786773682,1.0
