frame,timestamp,detections,tracked_objects,ball_1_x,ball_1_y,ball_1_confidence,ball_1_track_id
1,0.016666666666666666,0,0,,,,
2,0.03333333333333333,0,0,,,,
3,0.05,0,0,,,,
4,0.06666666666666667,0,0,,,,
5,0.08333333333333333,0,0,,,,
6,0.1,0,0,,,,
7,0.11666666666666667,0,0,,,,
8,0.13333333333333333,0,0,,,,
9,0.15,0,0,,,,
10,0.16666666666666666,0,0,,,,
11,0.18333333333333332,0,0,,,,
12,0.2,0,0,,,,
13,0.21666666666666667,0,0,,,,
14,0.23333333333333334,0,0,,,,
15,0.25,0,0,,,,
16,0.26666666666666666,0,0,,,,
17,0.2833333333333333,0,0,,,,
18,0.3,0,0,,,,
19,0.31666666666666665,0,0,,,,
20,0.3333333333333333,0,0,,,,
21,0.35,1,1,1213.0,393.0,0.23003415763378143,0.0
22,0.36666666666666664,1,1,1213.0,393.0,0.23568277060985565,0.0
23,0.38333333333333336,1,1,1214.0,393.0,0.14710363745689392,0.0
24,0.4,1,1,1214.0,393.0,0.13752517104148865,0.0
25,0.4166666666666667,1,1,1214.0,393.0,0.13545149564743042,0.0
26,0.43333333333333335,0,1,1214.0,393.0,0.13545149564743042,0.0
27,0.45,0,1,1214.0,393.0,0.13545149564743042,0.0
28,0.4666666666666667,0,1,1214.0,393.0,0.13545149564743042,0.0
29,0.48333333333333334,0,1,1214.0,393.0,0.13545149564743042,0.0
30,0.5,0,1,1214.0,393.0,0.13545149564743042,0.0
31,0.5166666666666667,1,1,1214.0,393.0,0.13545149564743042,0.0
32,0.5333333333333333,1,1,1214.0,393.0,0.13545149564743042,0.0
33,0.55,0,1,1214.0,393.0,0.13545149564743042,0.0
34,0.5666666666666667,0,1,1214.0,393.0,0.13545149564743042,0.0
35,0.5833333333333334,1,1,1214.0,393.0,0.13545149564743042,0.0
36,0.6,1,1,1214.0,393.0,0.13545149564743042,0.0
37,0.6166666666666667,1,1,1214.0,393.0,0.13545149564743042,0.0
38,0.6333333333333333,1,1,1214.0,393.0,0.13545149564743042,0.0
39,0.65,1,1,1214.0,393.0,0.13545149564743042,0.0
40,0.6666666666666666,1,1,1214.0,393.0,0.13545149564743042,0.0
41,0.6833333333333333,0,0,,,,
42,0.7,0,0,,,,
43,0.7166666666666667,1,1,1177.0,500.0,0.41381680965423584,1.0
44,0.7333333333333333,1,1,1177.0,500.0,0.41044169664382935,1.0
45,0.75,0,1,1177.0,500.0,0.41044169664382935,1.0
46,0.7666666666666667,0,1,1177.0,500.0,0.41044169664382935,1.0
47,0.7833333333333333,2,1,1162.0,463.0,0.22424617409706116,1.0
48,0.8,2,1,1159.0,454.0,0.22278599441051483,1.0
49,0.8166666666666667,1,1,1153.0,454.0,0.1655886322259903,1.0
50,0.8333333333333334,1,1,1152.0,455.0,0.16149456799030304,1.0
51,0.85,2,1,1146.0,467.0,0.3535151779651642,1.0
52,0.8666666666666667,1,1,1171.0,490.0,0.15546974539756775,1.0
53,0.8833333333333333,2,1,1171.0,490.0,0.15546974539756775,1.0
54,0.9,2,1,1171.0,490.0,0.15546974539756775,1.0
55,0.9166666666666666,3,1,1171.0,490.0,0.15546974539756775,1.0
56,0.9333333333333333,1,1,1169.0,540.0,0.10551648586988449,1.0
57,0.95,1,1,1158.0,505.0,0.5484136343002319,1.0
58,0.9666666666666667,2,1,1153.0,463.0,0.614254355430603,1.0
59,0.9833333333333333,4,1,1156.0,436.0,0.715339720249176,1.0
60,1.0,3,1,1169.0,414.0,0.7475644946098328,1.0
61,1.0166666666666666,2,1,1181.0,402.0,0.634926974773407,1.0
62,1.0333333333333334,2,1,1189.0,398.0,0.7060055732727051,1.0
63,1.05,2,1,1197.0,395.0,0.14710506796836853,1.0
64,1.0666666666666667,2,1,1205.0,395.0,0.1365012228488922,1.0
65,1.0833333333333333,1,1,1205.0,395.0,0.1365012228488922,1.0
66,1.1,1,1,1209.0,356.0,0.1064571812748909,1.0
67,1.1166666666666667,1,1,1210.0,339.0,0.10625255852937698,1.0
68,1.1333333333333333,1,1,1210.0,339.0,0.10625255852937698,1.0
69,1.15,3,1,1228.0,386.0,0.19162161648273468,1.0
70,1.1666666666666667,1,1,1241.0,414.0,0.5398781299591064,1.0
71,1.1833333333333333,2,1,1252.0,431.0,0.652980625629425,1.0
72,1.2,2,1,1257.0,442.0,0.6012124419212341,1.0
73,1.2166666666666666,2,1,1263.0,452.0,0.2702596187591553,1.0
74,1.2333333333333334,3,1,1270.0,465.0,0.576468825340271,1.0
75,1.25,5,1,1275.0,477.0,0.7934345602989197,1.0
76,1.2666666666666666,3,1,1277.0,485.0,0.5658299922943115,1.0
77,1.2833333333333334,3,1,1283.0,502.0,0.1886095106601715,1.0
78,1.3,1,1,1290.0,522.0,0.597676694393158,1.0
