frame,timestamp,detections,tracked_objects,ball_1_x,ball_1_y,ball_1_confidence,ball_1_track_id
1,0.016666666666666666,0,0,,,,
2,0.03333333333333333,0,0,,,,
3,0.05,0,0,,,,
4,0.06666666666666667,0,0,,,,
5,0.08333333333333333,0,0,,,,
6,0.1,0,0,,,,
7,0.11666666666666667,0,0,,,,
8,0.13333333333333333,0,0,,,,
9,0.15,0,0,,,,
10,0.16666666666666666,0,0,,,,
11,0.18333333333333332,0,0,,,,
12,0.2,0,0,,,,
13,0.21666666666666667,0,0,,,,
14,0.23333333333333334,0,0,,,,
15,0.25,0,0,,,,
16,0.26666666666666666,0,0,,,,
17,0.2833333333333333,0,0,,,,
18,0.3,0,0,,,,
19,0.31666666666666665,0,0,,,,
20,0.3333333333333333,0,0,,,,
21,0.35,0,0,,,,
22,0.36666666666666664,0,0,,,,
23,0.38333333333333336,0,0,,,,
24,0.4,0,0,,,,
25,0.4166666666666667,2,1,1085.0,726.0,0.3788814842700958,0.0
26,0.43333333333333335,2,1,1085.0,726.0,0.3712235391139984,0.0
27,0.45,0,1,1085.0,726.0,0.3712235391139984,0.0
28,0.4666666666666667,0,1,1085.0,726.0,0.3712235391139984,0.0
29,0.48333333333333334,0,1,1085.0,726.0,0.3712235391139984,0.0
30,0.5,1,1,1085.0,726.0,0.3712235391139984,0.0
31,0.5166666666666667,1,1,1085.0,726.0,0.3712235391139984,0.0
32,0.5333333333333333,1,1,1085.0,726.0,0.3712235391139984,0.0
33,0.55,1,1,1085.0,726.0,0.3712235391139984,0.0
34,0.5666666666666667,1,1,1085.0,726.0,0.3712235391139984,0.0
35,0.5833333333333334,1,1,1085.0,726.0,0.3712235391139984,0.0
36,0.6,0,1,1085.0,726.0,0.3712235391139984,0.0
37,0.6166666666666667,0,1,1085.0,726.0,0.3712235391139984,0.0
38,0.6333333333333333,2,1,1085.0,726.0,0.3712235391139984,0.0
39,0.65,2,1,1085.0,726.0,0.3712235391139984,0.0
40,0.6666666666666666,2,1,1085.0,726.0,0.3712235391139984,0.0
41,0.6833333333333333,2,1,1085.0,726.0,0.3712235391139984,0.0
42,0.7,1,1,908.0,385.0,0.4330129325389862,1.0
43,0.7166666666666667,1,1,908.0,385.0,0.4331567883491516,1.0
44,0.7333333333333333,1,1,922.0,381.0,0.10235140472650528,1.0
45,0.75,1,1,925.0,380.0,0.10752178728580475,1.0
46,0.7666666666666667,1,1,935.0,380.0,0.428619921207428,1.0
47,0.7833333333333333,1,1,938.0,380.0,0.4085564911365509,1.0
48,0.8,2,1,948.0,384.0,0.5820630788803101,1.0
49,0.8166666666666667,2,1,951.0,386.0,0.5817593336105347,1.0
50,0.8333333333333334,0,1,951.0,386.0,0.5817593336105347,1.0
51,0.85,0,1,951.0,386.0,0.5817593336105347,1.0
52,0.8666666666666667,0,1,951.0,386.0,0.5817593336105347,1.0
53,0.8833333333333333,0,1,951.0,386.0,0.5817593336105347,1.0
54,0.9,1,1,971.0,402.0,0.5063539743423462,1.0
55,0.9166666666666666,1,1,979.0,408.0,0.5040328502655029,1.0
56,0.9333333333333333,0,1,979.0,408.0,0.5040328502655029,1.0
57,0.95,1,1,1000.0,438.0,0.5420544743537903,1.0
58,0.9666666666666667,1,1,1008.0,451.0,0.5445936918258667,1.0
59,0.9833333333333333,2,1,1017.0,469.0,0.5787497758865356,1.0
60,1.0,2,1,1020.0,475.0,0.5791652202606201,1.0
61,1.0166666666666666,2,1,1030.0,496.0,0.5888062119483948,1.0
62,1.0333333333333334,2,1,1033.0,504.0,0.5887455344200134,1.0
63,1.05,2,1,1033.0,505.0,0.5876240134239197,1.0
64,1.0666666666666667,2,1,1032.0,504.0,0.587693989276886,1.0
65,1.0833333333333333,1,1,1042.0,523.0,0.23376958072185516,1.0
66,1.1,0,1,1042.0,523.0,0.23376958072185516,1.0
67,1.1166666666666667,0,1,1042.0,523.0,0.23376958072185516,1.0
68,1.1333333333333333,1,1,1042.0,523.0,0.23376958072185516,1.0
69,1.15,0,1,1042.0,523.0,0.23376958072185516,1.0
70,1.1666666666666667,0,1,1042.0,523.0,0.23376958072185516,1.0
71,1.1833333333333333,2,1,1042.0,523.0,0.23376958072185516,1.0
72,1.2,2,1,1042.0,523.0,0.23376958072185516,1.0
73,1.2166666666666666,0,1,1042.0,523.0,0.23376958072185516,1.0
74,1.2333333333333334,0,1,1042.0,523.0,0.23376958072185516,1.0
75,1.25,0,1,1042.0,523.0,0.23376958072185516,1.0
76,1.2666666666666666,0,1,1042.0,523.0,0.23376958072185516,1.0
77,1.2833333333333334,4,1,1093.0,564.0,0.39814886450767517,1.0
78,1.3,3,1,1121.0,629.0,0.4907463490962982,1.0
79,1.3166666666666667,1,1,1129.0,655.0,0.12845401465892792,1.0
80,1.3333333333333333,1,1,1127.0,660.0,0.13650089502334595,1.0
