frame,timestamp,detections,tracked_objects,ball_1_x,ball_1_y,ball_1_confidence,ball_1_track_id
1,0.016666666666666666,1,1,1203.0,537.0,0.16495822370052338,0.0
2,0.03333333333333333,1,1,1203.0,537.0,0.15872237086296082,0.0
3,0.05,1,1,1203.0,537.0,0.17049087584018707,0.0
4,0.06666666666666667,1,1,1203.0,538.0,0.1729116588830948,0.0
5,0.08333333333333333,1,1,1203.0,539.0,0.2033054679632187,0.0
6,0.1,1,1,1203.0,539.0,0.19958025217056274,0.0
7,0.11666666666666667,1,1,1203.0,539.0,0.20132330060005188,0.0
8,0.13333333333333333,1,1,1203.0,539.0,0.2688176929950714,0.0
9,0.15,1,1,1203.0,540.0,0.2686353325843811,0.0
10,0.16666666666666666,1,1,1203.0,540.0,0.34207403659820557,0.0
11,0.18333333333333332,1,1,1203.0,540.0,0.33677056431770325,0.0
12,0.2,1,1,1204.0,540.0,0.34325873851776123,0.0
13,0.21666666666666667,1,1,1204.0,540.0,0.37297794222831726,0.0
14,0.23333333333333334,1,1,1204.0,540.0,0.3910069763660431,0.0
15,0.25,1,1,1204.0,540.0,0.3860919773578644,0.0
16,0.26666666666666666,1,1,1204.0,539.0,0.38300299644470215,0.0
17,0.2833333333333333,2,1,1204.0,539.0,0.3972085416316986,0.0
18,0.3,1,1,1204.0,539.0,0.37091830372810364,0.0
19,0.31666666666666665,1,1,1204.0,539.0,0.36877524852752686,0.0
20,0.3333333333333333,1,1,1205.0,539.0,0.45600494742393494,0.0
21,0.35,1,1,1205.0,539.0,0.4579971432685852,0.0
22,0.36666666666666664,2,1,1205.0,539.0,0.6007131934165955,0.0
23,0.38333333333333336,2,1,1206.0,540.0,0.6026248335838318,0.0
24,0.4,2,1,1206.0,540.0,0.6274666786193848,0.0
25,0.4166666666666667,2,1,1207.0,540.0,0.6259721517562866,0.0
26,0.43333333333333335,2,1,1207.0,541.0,0.5039335489273071,0.0
27,0.45,2,1,1207.0,541.0,0.5029200911521912,0.0
28,0.4666666666666667,1,1,1206.0,541.0,0.3651407063007355,0.0
29,0.48333333333333334,1,1,1206.0,542.0,0.3776036500930786,0.0
30,0.5,1,1,1206.0,542.0,0.3732917606830597,0.0
31,0.5166666666666667,1,1,1207.0,542.0,0.3745286166667938,0.0
32,0.5333333333333333,1,1,1207.0,543.0,0.37528514862060547,0.0
33,0.55,1,1,1207.0,543.0,0.4255634844303131,0.0
34,0.5666666666666667,1,1,1207.0,544.0,0.41815268993377686,0.0
35,0.5833333333333334,1,1,1207.0,544.0,0.42141762375831604,0.0
36,0.6,1,1,1207.0,544.0,0.4716029763221741,0.0
37,0.6166666666666667,1,1,1208.0,545.0,0.4715367257595062,0.0
38,0.6333333333333333,1,1,1208.0,545.0,0.45720773935317993,0.0
39,0.65,1,1,1208.0,546.0,0.45555856823921204,0.0
40,0.6666666666666666,1,1,1208.0,545.0,0.45687273144721985,0.0
41,0.6833333333333333,2,1,1207.0,544.0,0.36476606130599976,0.0
42,0.7,2,1,1207.0,543.0,0.3566398620605469,0.0
43,0.7166666666666667,2,1,1206.0,541.0,0.4469939172267914,0.0
44,0.7333333333333333,2,1,1206.0,540.0,0.44477009773254395,0.0
45,0.75,2,1,1205.0,539.0,0.31147268414497375,0.0
46,0.7666666666666667,2,1,1204.0,539.0,0.30247053503990173,0.0
47,0.7833333333333333,1,1,1204.0,538.0,0.2289961278438568,0.0
48,0.8,1,1,1203.0,538.0,0.2337970733642578,0.0
49,0.8166666666666667,1,1,1203.0,537.0,0.23596681654453278,0.0
50,0.8333333333333334,1,1,1203.0,536.0,0.24301348626613617,0.0
51,0.85,1,1,1203.0,536.0,0.24451467394828796,0.0
52,0.8666666666666667,1,1,1202.0,535.0,0.2469301074743271,0.0
53,0.8833333333333333,1,1,1202.0,535.0,0.27186092734336853,0.0
54,0.9,2,1,1202.0,534.0,0.37849342823028564,0.0
55,0.9166666666666666,2,1,1202.0,534.0,0.36894598603248596,0.0
56,0.9333333333333333,2,1,1203.0,534.0,0.3112826943397522,0.0
57,0.95,2,1,1203.0,534.0,0.3127179443836212,0.0
58,0.9666666666666667,2,1,1204.0,534.0,0.32095274329185486,0.0
59,0.9833333333333333,1,1,1204.0,536.0,0.2110334187746048,0.0
60,1.0,1,1,1205.0,536.0,0.19964683055877686,0.0
61,1.0166666666666666,0,1,1205.0,536.0,0.19964683055877686,0.0
62,1.0333333333333334,0,1,1205.0,536.0,0.19964683055877686,0.0
63,1.05,1,1,1205.0,536.0,0.19964683055877686,0.0
64,1.0666666666666667,1,1,1205.0,536.0,0.19964683055877686,0.0
65,1.0833333333333333,1,1,1206.0,537.0,0.15086323022842407,0.0
66,1.1,1,1,1207.0,537.0,0.11085953563451767,0.0
